Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C102, C103, C104, C105, C106, C107, C2, C3, C4, C5, C51, C54, C57, C6, C60, C62, C65",2220,18,10uF-100V-10%-2220,
"C10, C11, C111, C112, C113, C114, C117, C118, C119, C12, C120, C129, C13, C130, C131, C132, C135, C136, C137, C138, C147, C148, C149, C150, C151, C152, C33, C34, C35, C36, C45, C46, C47, C48, C52, C53, C55, C56, C69, C70, C71, C72, C75, C76, C77, C78, C87, C88, C89, C90, C93, C94, C95, C96",0805,54,10uF-25V-10%-0805,
"C100, C101, C115, C116, C121, C122, C123, C124, C125, C133, C134, C139, C14, C140, C141, C142, C143, C144, C145, C146, C23, C26, C27, C28, C32, C37, C38, C39, C40, C41, C49, C50, C58, C59, C61, C63, C64, C73, C74, C79, C80, C81, C82, C83, C91, C92, C97, C98, C99",0603,49,100nF-50V-10%-0603,
"C108, C109, C110, C126, C127, C128, C24, C25, C29, C31, C42, C43, C44, C66, C67, C68, C7, C8, C84, C85, C86, C9",0805,22,1uF-25V-10%-0805,
"C15, C16, C17, C18, C19, C20, C21, C22",0603,8,DNP,
"C153, C154, C155, C156, C157, C158, C159, C160",CP_Radial_D16.0mm_P7.50mm,8,100uF-420V-20%-D16P7.5,
"C161, C162, C163, C164, C165, C166, C167, C168",0603,8,1nF-50V-10%-0603,
C30,0805,1,1uF-25V-10%-08051uF-25V-10%-0805,
"D1, D2, D3, D38, D39, D4, D40, D41, D42, D5, D57, D58, D59, D6, D60, D7, D75, D76, D77, D78, D79, D8, D9, D94, D95, D96, D97",D_SMC,27,SS36-E3/57T,
"D10, D100, D104, D105, D106, D108, D109, D11, D110, D12, D16, D17, D18, D22, D23, D24, D25, D26, D28, D29, D30, D31, D34, D35, D36, D43, D44, D45, D49, D50, D51, D53, D54, D55, D61, D62, D63, D67, D68, D69, D71, D72, D73, D80, D81, D82, D86, D87, D88, D90, D91, D92, D98, D99",D_SMB,54,SM6T24A,
"D101, D107, D111, D13, D19, D27, D32, D33, D37, D46, D52, D56, D64, D70, D74, D83, D89, D93",D_SMA,18,STTH1L06A,
"D102, D103, D14, D15, D20, D21, D47, D48, D65, D66, D84, D85",D_SMB,12,22V-550mW-SMB,
FB1,0603,1,GZ1608D601TF,
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_3.2mm_M3_Pad_TopOnly,8,MountingHole_Pad,
"IC1, IC11, IC13, IC3, IC5, IC9",SOP50P490X110-11N,6,SN6507DGQR,
"IC10, IC12, IC14, IC2, IC4, IC6",SOIC127P1030X265-16N,6,UCC21737-Q1,
IC7,SOIC127P1030X265-16N,1,ISO6762FDWR,
IC8,QFP50P700X700X120-32N,1,ADS131M08QPBSRQ1,
"J1, J2, J3, J4, J5",ACTB273-Cu-T2,5,Screw_Terminal_01x01,
Q1,HYG050N13NS1B6,1,NJFET_Test shape for LV fet,
"Q10, Q12, Q14, Q16, Q18, Q2, Q20, Q22, Q24, Q26, Q28, Q30, Q32, Q34, Q36, Q4, Q5, Q7",SOT-23,18,AO3400A,
"Q11, Q13, Q15, Q17, Q19, Q21, Q23, Q25, Q27, Q29, Q3, Q31, Q33, Q35, Q37, Q6, Q8, Q9",G3R40MT12J,18,G3R40MT12J,
"R1, R105, R119, R29, R5, R91",0603,6,0-10%-0603,
"R10, R102, R103, R108, R109, R112, R113, R116, R117, R122, R123, R126, R127, R130, R131, R15, R16, R17, R20, R21, R23, R26, R27, R32, R33, R4, R8, R84, R85, R88, R89, R9, R94, R95, R98, R99",0603,36,12-1%-0603,
"R100, R104, R11, R110, R114, R118, R124, R128, R13, R132, R18, R22, R24, R28, R34, R86, R90, R96",0603,18,0.250-5%-0603,
"R101, R115, R129, R19, R25, R87",0603,6,2-0.1%-0603,
"R106, R120, R2, R30, R6, R92",0603,6,50k-1%-0603,
"R107, R111, R12, R121, R125, R14, R3, R31, R7, R83, R93, R97",0603,12,2-1%-0603,
"R35, R36, R37, R38, R39, R40, R41, R42",1206,8,1k-0.1%-1206,
"R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82",1206,40,100k-0.1%-1206,
"T1, T2, T3, T4, T5, T6",78210035JVC,6,782100_35JVC,
"U1, U10, U12, U2, U6, U8",TO-252-2,6,L78M15,
"U11, U13, U3, U5, U7, U9",TO-263-3_TabPin2,6,LM7905_TO220,
"U14, U15, U16",HO150PW0000,3,HO_150-PW-0000,
U4,SOT-89-3,1,L78L33_SOT89,
