Designator,Mid X,Mid Y,Rotation,Layer
C1,187.9139,-267.832,90.0,top
C10,139.4147,-121.2052,270.0,top
C100,237.5154,-247.2566,90.0,top
C101,206.5274,-247.1166,90.0,top
C102,187.9033,-107.7942,90.0,top
C103,194.5073,-107.7942,90.0,top
C104,218.8913,-107.7942,90.0,top
C105,225.4953,-107.7942,90.0,top
C106,250.1333,-107.7942,90.0,top
C107,256.7373,-107.7942,90.0,top
C108,96.5185,-279.184,180.0,top
C109,102.7707,-307.721,0.0,top
C11,96.4481,-116.9482,180.0,top
C110,93.6991,-284.988,180.0,top
C111,141.7661,-285.049,270.0,top
C112,96.5135,-277.114,180.0,top
C113,141.7627,-324.5958,270.0,top
C114,141.7007,-121.2052,270.0,top
C115,143.7981,-281.546,90.0,top
C116,143.7981,-284.848,270.0,top
C117,141.6933,-160.7982,270.0,top
C118,141.7655,-201.5896,270.0,top
C119,141.7472,-241.2136,270.0,top
C12,139.4073,-160.7982,270.0,top
C120,141.7661,-281.371,270.0,top
C121,111.4727,-307.4924,0.0,top
C122,111.4597,-294.6654,0.0,top
C123,175.4059,-287.2864,90.0,top
C124,237.5343,-287.414,90.0,top
C125,206.5463,-287.274,90.0,top
C126,96.5151,-318.7308,180.0,top
C127,102.7673,-347.2678,0.0,top
C128,93.6957,-324.5348,180.0,top
C129,141.7627,-320.9178,270.0,top
C13,139.4795,-201.5896,270.0,top
C130,96.5101,-316.6608,180.0,top
C131,158.7398,-237.6018,90.0,top
C132,111.2238,-252.603,0.0,top
C133,143.7947,-321.0928,90.0,top
C134,143.7947,-324.3948,270.0,top
C135,111.2368,-269.24,180.0,top
C136,144.653,-251.7394,0.0,top
C137,158.7587,-277.7592,90.0,top
C138,111.2427,-292.7604,0.0,top
C139,111.4693,-347.0392,0.0,top
C14,143.7253,-160.9732,90.0,top
C140,111.4563,-334.2122,0.0,top
C141,175.4025,-326.8332,90.0,top
C142,237.5309,-326.9608,90.0,top
C143,206.5429,-326.8208,90.0,top
C144,284.7848,-244.6658,270.0,top
C145,284.6578,-164.2488,270.0,top
C146,311.912,-324.599,270.0,top
C147,111.2557,-309.3974,180.0,top
C148,144.6719,-291.8968,0.0,top
C149,158.7553,-317.306,90.0,top
C15,177.529,-94.488,180.0,top
C150,111.2393,-332.3072,0.0,top
C151,111.2523,-348.9442,180.0,top
C152,144.6685,-331.4436,0.0,top
C153,268.598,-173.458,0.0,top
C154,268.598,-191.008,0.0,top
